Region,Year of Order Date,Quarter of Order Date,Profit
East,2012,Q1,-111.8
East,2012,Q1,-342.91
West,2012,Q1,-193.08
West,2012,Q1,247.79
West,2012,Q1,-1049.85
West,2012,Q1,26.71
Central,2012,Q1,-11.937
West,2012,Q1,1438.49
South,2012,Q1,-93.16
West,2012,Q1,-146.05
South,2012,Q1,12.5545
West,2012,Q1,24.55
Central,2012,Q1,-41.58
West,2012,Q1,-452.2695
South,2012,Q1,-236.43
Central,2012,Q1,-212.553
South,2012,Q1,32.44
South,2012,Q1,14440.39
Central,2012,Q1,-394.69
Central,2012,Q1,-76.015
Central,2012,Q1,8.33
Central,2012,Q1,-335.24
Central,2012,Q1,667.449
Central,2012,Q1,-131.31
Central,2012,Q1,-139.15575
Central,2012,Q1,1.74
Central,2012,Q1,2593.14
South,2012,Q1,-131.08
East,2012,Q1,-32.48
Central,2012,Q1,-28.46
Central,2012,Q1,-1358.9
Central,2012,Q1,1162.76
South,2012,Q1,245.97
Central,2012,Q1,-188.5812
Central,2012,Q1,1054.93
Central,2012,Q1,-60.39
East,2012,Q1,-108.8
Central,2012,Q1,-11053.6
South,2012,Q1,0.61
South,2012,Q1,-164.043
South,2012,Q1,-37.08
South,2012,Q1,112.44
South,2012,Q1,2.39
South,2012,Q1,-2.392
South,2012,Q1,-40.72
South,2012,Q1,433.24
South,2012,Q1,-225.86
West,2012,Q1,-73.19
South,2012,Q1,-153.46
West,2012,Q1,-199.134
East,2012,Q1,-11.5805
East,2012,Q1,-2314.74
East,2012,Q1,102.61
Central,2012,Q1,-112.244
Central,2012,Q1,60.2735
Central,2012,Q1,-263.09
West,2012,Q1,425.754
East,2012,Q1,-2.06
East,2012,Q1,64.25
East,2012,Q1,14.42
South,2012,Q1,20.43
West,2012,Q1,9296.348
West,2012,Q1,-116.87
Central,2012,Q1,-38.9
West,2012,Q1,-53.8545
West,2012,Q1,-164.25
East,2012,Q1,11.32
East,2012,Q1,-4.09
Central,2012,Q1,-71
East,2012,Q1,-506.308
Central,2012,Q1,-686.01
Central,2012,Q1,-53.75
West,2012,Q1,-85.23
East,2012,Q1,-128.47
East,2012,Q1,420.05
Central,2012,Q1,73.33
Central,2012,Q1,-179.36
Central,2012,Q1,129.87
Central,2012,Q1,1907.94
Central,2012,Q1,-154.24
South,2012,Q1,339.58
South,2012,Q1,4913.16
East,2012,Q1,30.53
